,Number,Autor,Publication,Title,Journal,IF,DOI,Article name,Formula,Cat. compound,Support,"Cat./Support ratio, % (at)",Morphology (TEM/SEM),"Pore size, nm",width min (nm),width aver (nm),width max (nm),length min (nm),length aver (nm),length max (nm),"Cu, % (at.)","Cu+, % (at.)","Cu(2+), % (at.)",Base,electrolyte,"conc, M",pH,RHE vs V,Product,"FE, %","Time, h","Current density, mA/cm2",Type of reactor," Energy efficiency, %",Сarbon efficiency (equivalent to single-pass carbon efficiency (SPCE),"Loading, μg/cm2","Capacitance, (uF/cm2)","ECSA, cm2",R,"BET surface, m2/g"
13,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,C2H4,59.13,,-4.61,H-cell,,,713.19,1010.0,,,
14,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,H2,20.19,,-4.61,H-cell,,,713.19,1010.0,,,
15,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,CO,3.95,,-4.61,H-cell,,,713.19,1010.0,,,
16,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,C2H4,41.61,,-4.11,H-cell,,,713.19,50.0,,,
17,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,H2,32.75,,-4.11,H-cell,,,713.19,50.0,,,
18,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,CO,9.42,,-4.11,H-cell,,,713.19,50.0,,,
19,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,C2H4,38.9,,-3.79,H-cell,,,713.19,260.0,,,
20,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,H2,36.89,,-3.79,H-cell,,,713.19,260.0,,,
21,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,CO,6.95,,-3.79,H-cell,,,713.19,260.0,,,
22,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,C2H4,19.45,,-2.91,H-cell,,,713.19,340.0,,,
23,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,H2,60.45,,-2.91,H-cell,,,713.19,340.0,,,
24,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.2,CO,9.11,,-2.91,H-cell,,,713.19,340.0,,,
25,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,C2H4,55.14,,-6.83,H-cell,,,713.19,1010.0,,,
26,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,H2,31.07,,-6.83,H-cell,,,713.19,1010.0,,,
27,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,c-Cu2O,Cu2O,Cu2O,,100.0,cubic,,459.5,810.75,1162.0,459.5,810.75,1162.0,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,CO,2.75,,-6.83,H-cell,,,713.19,1010.0,,,
28,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,C2H4,35.56,,-5.85,H-cell,,,713.19,50.0,,,
29,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,H2,46.99,,-5.85,H-cell,,,713.19,50.0,,,
30,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,o-Cu2O,Cu2O,Cu2O,,100.0,octahedron,,805.0,1204.0,1603.0,961.7,1276.4,1591.1,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,CO,9.25,,-5.85,H-cell,,,713.19,50.0,,,
31,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,C2H4,42.13,,-5.35,H-cell,,,713.19,260.0,,,
32,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,H2,33.92,,-5.35,H-cell,,,713.19,260.0,,,
33,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,d-Cu2O,Cu2O,Cu2O,,100.0,dodecahedron,,634.8,938.05,1241.3,634.8,938.05,1241.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,CO,5.41,,-5.35,H-cell,,,713.19,260.0,,,
34,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,C2H4,12.24,,-4.39,H-cell,,,713.19,340.0,,,
35,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,H2,57.22,,-4.39,H-cell,,,713.19,340.0,,,
36,2.0,"Yilong Dong, Xingcheng Ma, Zhaoyong Jin, Xiaochun Xu, Tianyi Xu, Dantong Zhang, Xiaoqiang Cui",2024.0,Full-exposed Cu site of Cu2O-(1 0 0) driven high ethylene selectivity of carbon dioxide reduction,Applied Surface Science,"7,392",https://doi.org/10.1016/j.apsusc.2023.159243,p-Cu2O,Cu2O,Cu2O,,100.0,polyhedron,,1273.5,1841.4,2409.3,1273.5,1841.4,2409.3,0.0,100.0,0.0,glassy-carbon electrode,KHCO3,0.1,6.8,-1.3,CO,7.12,,-4.39,H-cell,,,713.19,340.0,,,
37,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.6,C2H4,31.57,0.48,-62.01,H-cell,,,,61.0,,,
38,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.6,H2,27.92,0.48,-62.01,H-cell,,,,61.0,,,
39,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.6,CO,4.2,0.48,-62.01,H-cell,,,,61.0,,,
40,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.6,C2H5OH,12.23,0.48,-62.01,H-cell,,,,61.0,,,
41,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.6,CH4,8.39,0.48,-62.01,H-cell,,,,61.0,,,
42,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.4,C2H4,36.93,0.48,-45.5,H-cell,,,,61.0,,,
43,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.4,C2H4,41.58,1.01,-45.5,H-cell,,,,61.0,,,
44,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.4,C2H4,42.54,1.56,-45.5,H-cell,,,,61.0,,,
45,3.0,"Longmei Shang a 1, Ximeng Lv a 1, Hao Shen a, Zhengzhong Shao b, Gengfeng Zheng",2019.0,Selective carbon dioxide electroreduction to ethylene and ethanol by core-shell copper/cuprous oxide,Journal of Colloid and Interface Science,"9,965",10.1016/j.jcis.2019.05.073,Cu@Cu2O,Cu1O0.056,Cu2O,Cu,8.91,nanorod,,150.0,150.0,150.0,,,,90.0,8.8,1.2,carbon paper electrode,KHCO3,0.1,6.8,-1.4,C2H4,42.54,2.14,-45.5,H-cell,,,,61.0,,,
